variable_name,#,Temp,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
units,nan,°C,nan,nan,nan,nan,nan
serial_text,nan,"LGR S/N: 10469238, SEN S/N: 10469238",LGR S/N: 10469238,LGR S/N: 10469238,LGR S/N: 10469238,LGR S/N: 10469238,LGR S/N: 10469238
"Date Time, GMT+01:00",,,,,,,
2019-10-10 11:00:00,1,22.333000000000002,,,,,
2019-10-10 11:00:02,2,,Logged,,,,
2019-10-10 11:05:00,3,22.525,,,,,
2019-10-10 11:10:00,4,22.429000000000002,,,,,
2019-10-10 11:15:00,5,22.525,,,,,
2019-10-10 11:20:00,6,22.525,,,,,
2019-10-10 11:25:00,7,22.238000000000003,,,,,
2019-10-10 11:30:00,8,21.378,,,,,
2019-10-10 11:35:00,9,20.996,,,,,
2019-10-10 11:40:00,10,20.805,,,,,
2019-10-10 11:45:00,11,20.71,,,,,
2019-10-10 11:50:00,12,20.71,,,,,
2019-10-10 11:55:00,13,20.71,,,,,
2019-10-10 12:00:00,14,20.805,,,,,
2019-10-10 12:05:00,15,20.901,,,,,
2019-10-10 12:10:00,16,21.090999999999998,,,,,
2019-10-10 12:15:00,17,21.281999999999996,,,,,
2019-10-10 12:20:00,18,21.378,,,,,
2019-10-10 12:25:00,19,21.569000000000003,,,,,
2019-10-10 12:30:00,20,21.76,,,,,
2019-10-10 12:35:00,21,21.855,,,,,
2019-10-10 12:40:00,22,21.951,,,,,
2019-10-10 12:45:00,23,22.046,,,,,
2019-10-10 12:50:00,24,22.142,,,,,
2019-10-10 12:55:00,25,22.142,,,,,
2019-10-10 13:00:00,26,22.142,,,,,
2019-10-10 13:05:00,27,22.046,,,,,
2019-10-10 13:10:00,28,22.046,,,,,
2019-10-10 13:15:00,29,22.142,,,,,
2019-10-10 13:20:00,30,22.429000000000002,,,,,
2019-10-10 13:25:00,31,22.717,,,,,
2019-10-10 13:30:00,32,22.717,,,,,
2019-10-10 13:35:00,33,22.811999999999998,,,,,
2019-10-10 13:40:00,34,22.811999999999998,,,,,
2019-10-10 13:45:00,35,22.811999999999998,,,,,
2019-10-10 13:50:00,36,22.717,,,,,
2019-10-10 13:55:00,37,22.717,,,,,
2019-10-10 14:00:00,38,22.717,,,,,
2019-10-10 14:05:00,39,22.717,,,,,
2019-10-10 14:10:00,40,22.621,,,,,
2019-10-10 14:15:00,41,22.621,,,,,
2019-10-10 14:20:00,42,22.621,,,,,
2019-10-10 14:25:00,43,22.621,,,,,
2019-10-10 14:30:00,44,22.621,,,,,
2019-10-10 14:35:00,45,22.621,,,,,
2019-10-10 14:40:00,46,22.525,,,,,
2019-10-10 14:45:00,47,22.525,,,,,
2019-10-10 14:50:00,48,22.525,,,,,
2019-10-10 14:55:00,49,22.525,,,,,
2019-10-10 15:00:00,50,22.525,,,,,
2019-10-10 15:05:00,51,22.525,,,,,
2019-10-10 15:10:00,52,22.525,,,,,
2019-10-10 15:15:00,53,22.621,,,,,
2019-10-10 15:20:00,54,22.717,,,,,
2019-10-10 15:25:00,55,22.717,,,,,
2019-10-10 15:30:00,56,22.717,,,,,
2019-10-10 15:35:00,57,22.717,,,,,
2019-10-10 15:40:00,58,22.717,,,,,
2019-10-10 15:45:00,59,22.717,,,,,
2019-10-10 15:50:00,60,22.717,,,,,
2019-10-10 15:55:00,61,22.717,,,,,
2019-10-10 16:00:00,62,22.811999999999998,,,,,
2019-10-10 16:05:00,63,23.004,,,,,
2019-10-10 16:10:00,64,22.333000000000002,,,,,
2019-10-10 16:15:00,65,21.569000000000003,,,,,
2019-10-10 16:20:00,66,21.186999999999998,,,,,
2019-10-10 16:25:00,67,21.473000000000003,,,,,
2019-10-10 16:30:00,68,21.855,,,,,
2019-10-10 16:35:00,69,22.142,,,,,
2019-10-10 16:40:00,70,22.429000000000002,,,,,
2019-10-10 16:45:00,71,22.621,,,,,
2019-10-10 16:50:00,72,22.621,,,,,
2019-10-10 16:55:00,73,22.429000000000002,,,,,
2019-10-10 17:00:00,74,22.238000000000003,,,,,
2019-10-10 17:05:00,75,22.046,,,,,
2019-10-10 17:10:00,76,21.951,,,,,
2019-10-10 17:15:00,77,21.855,,,,,
2019-10-10 17:20:00,78,21.76,,,,,
2019-10-10 17:25:00,79,21.664,,,,,
2019-10-10 17:30:00,80,21.664,,,,,
2019-10-10 17:35:00,81,21.569000000000003,,,,,
2019-10-10 17:40:00,82,21.569000000000003,,,,,
2019-10-10 17:45:00,83,21.473000000000003,,,,,
2019-10-10 17:50:00,84,21.473000000000003,,,,,
2019-10-10 17:55:00,85,21.378,,,,,
2019-10-10 18:00:00,86,21.281999999999996,,,,,
2019-10-10 18:05:00,87,20.901,,,,,
2019-10-10 18:10:00,88,19.948,,,,,
2019-10-10 18:15:00,89,19.377,,,,,
2019-10-10 18:20:00,90,18.996,,,,,
2019-10-10 18:25:00,91,18.805999999999997,,,,,
2019-10-10 18:30:00,92,18.711,,,,,
2019-10-10 18:35:00,93,18.996,,,,,
2019-10-10 18:40:00,94,19.377,,,,,
2019-10-10 18:45:00,95,19.662,,,,,
2019-10-10 18:50:00,96,19.758,,,,,
