variable_name,#,Temp,Coupler Attached,Host Connected,Stopped,End Of File,Temp
units,nan,°F,nan,nan,nan,nan,°C
serial_text,nan,"LGR S/N: 10469238, SEN S/N: 10469238",LGR S/N: 10469238,LGR S/N: 10469238,LGR S/N: 10469238,LGR S/N: 10469238,"LGR S/N: 10469238, SEN S/N: 10469238"
"Date Time, GMT+00:00",,,,,,,
2014-04-02 01:30:00,86,72.891,,,,,22.717222222222226
2014-04-02 02:00:00,87,72.718,,,,,22.621111111111116
2014-04-02 02:30:00,88,72.545,,,,,22.525000000000002
2014-04-02 03:00:00,89,72.718,,,,,22.621111111111116
2014-04-02 03:30:00,90,72.718,,,,,22.621111111111116
2014-04-02 04:00:00,91,72.718,,,,,22.621111111111116
2014-04-02 04:30:00,92,72.545,,,,,22.525000000000002
2014-04-02 05:00:00,93,72.545,,,,,22.525000000000002
2014-04-02 05:30:00,94,72.372,,,,,22.428888888888892
2014-04-02 06:00:00,95,72.372,,,,,22.428888888888892
2014-04-02 06:30:00,96,72.199,,,,,22.33277777777778
2014-04-02 07:00:00,97,72.199,,,,,22.33277777777778
2014-04-02 07:30:00,98,72.028,,,,,22.237777777777783
2014-04-02 08:00:00,99,72.028,,,,,22.237777777777783
2014-04-02 08:30:00,100,72.199,,,,,22.33277777777778
2014-04-02 09:00:00,101,72.545,,,,,22.525000000000002
2014-04-02 09:30:00,102,72.718,,,,,22.621111111111116
2014-04-02 10:00:00,103,73.407,,,,,23.003888888888884
2014-04-02 10:30:00,104,73.753,,,,,23.196111111111108
2014-04-02 11:00:00,105,73.407,,,,,23.003888888888884
2014-04-02 11:30:00,106,73.407,,,,,23.003888888888884
2014-04-02 12:00:00,107,73.58,,,,,23.099999999999998
2014-04-02 12:30:00,108,73.58,,,,,23.099999999999998
2014-04-02 13:00:00,109,73.58,,,,,23.099999999999998
2014-04-02 13:30:00,110,73.753,,,,,23.196111111111108
2014-04-02 14:00:00,111,73.926,,,,,23.29222222222222
2014-04-02 14:30:00,112,73.926,,,,,23.29222222222222
2014-04-02 15:00:00,113,74.098,,,,,23.387777777777778
2014-04-02 15:30:00,114,74.098,,,,,23.387777777777778
2014-04-02 16:00:00,115,74.098,,,,,23.387777777777778
2014-04-02 16:30:00,116,74.098,,,,,23.387777777777778
2014-04-02 17:00:00,117,74.098,,,,,23.387777777777778
2014-04-02 17:30:00,118,74.098,,,,,23.387777777777778
2014-04-02 18:00:00,119,73.926,,,,,23.29222222222222
2014-04-02 18:30:00,120,73.753,,,,,23.196111111111108
2014-04-02 19:00:00,121,73.407,,,,,23.003888888888884
2014-04-02 19:30:00,122,73.234,,,,,22.907777777777774
2014-04-02 20:00:00,123,73.062,,,,,22.81222222222222
2014-04-02 20:30:00,124,73.062,,,,,22.81222222222222
2014-04-02 21:00:00,125,72.891,,,,,22.717222222222226
2014-04-02 21:30:00,126,72.718,,,,,22.621111111111116
2014-04-02 22:00:00,127,72.718,,,,,22.621111111111116
2014-04-02 22:30:00,128,72.545,,,,,22.525000000000002
2014-04-02 23:00:00,129,72.372,,,,,22.428888888888892
